text_form,part_of_speech,type_character,character
и,verb,number,pl
и,verb,person,3
и,verb,time,p
ого,participle,case,rod
ого,participle,gender,m
ого,participle,gender,s
его,participle,case,rod
его,participle,gender,m
его,participle,gender,s
ому,participle,case,dat
ому,participle,gender,m
ому,participle,gender,s
ему,participle,case,dat
ему,participle,gender,m
ему,participle,gender,s
ым,participle,case,tvor
ым,participle,gender,m
ым,participle,gender,s
им,participle,case,tvor
им,participle,gender,m
им,participle,gender,s
ом,participle,case,predl
ом,participle,gender,m
ом,participle,gender,s
ем,participle,case,predl
ем,participle,gender,m
ем,participle,gender,s
ой,participle,case,rod
ой,participle,gender,f
ей,participle,case,rod
ей,participle,gender,f
ую,participle,case,vin
ую,participle,gender,f
юю,participle,case,vin
юю,participle,gender,f
ою,participle,case,tvor
ою,participle,gender,f
ею,participle,case,tvor
ею,participle,gender,f
ых,participle,case,rod
ых,participle,number,pl
их,participle,case,rod
их,participle,number,pl
ым,participle,case,dat
ым,participle,number,pl
им,participle,case,dat
им,participle,number,pl
ыми,participle,case,tvor
ыми,participle,number,pl
ими,participle,case,tvor
ими,participle,number,pl
